"english","part_of_speech"
"abandon","n./v."
"abandonment","n."
"abbreviation","n."
"abiding","adj."
"aboard","adv./prep."
"abolish","v."
"absence","n."
"absurdity","n."
"abundance","n."
"abusive","adj."
"accelerate","v."
"accessible","adj."
"accession","n./v."
"accessory","n./adj."
"accomplish","v."
"accordingly","adv."
"accountant","n."
"accuse","v."
"acid","n./adj."
"acoustics","n."
"acquisition","n."
"acronym","n."
"acupuncture","n./v."
"addiction","n."
"adequate","adj."
"adjust","v."
"administrative","adj."
"adolescent","n./adj."
"adrenaline","n."
"aerospace","n."
"aesthetic","n./adj."
"affective","adj."
"afflict","v."
"agonizing","adj."
"aircraft","n."
"alas","n./adv./interj."
"albeit","conj."
"album","n."
"algorithm","n."
"alien","n./v./adj."
"allegation","n."
"allegory","n."
"allure","n./v."
"alongside","adv./prep."
"alter","v."
"amazement","n."
"amid","prep."
"amplify","v."
"analysis","n."
"analyze","v."
"ancestor","n."
"ancestral","adj."
"anthropologist","n."
"antibiotic","n./adj."
"anticipation","n."
"antidote","n."
"ape","n./v."
"Appalachia","n."
"apparel","n./v."
"appearance","n."
"application","n."
"aqueous","adj."
"arch","n./v./adj."
"armchair","n."
"arouse","v."
"artefact","n."
"artificial","adj."
"artistic","adj."
"aspiration","n."
"assemble","v."
"assignment","n."
"assist","n./v."
"assistance","n."
"Assyria","n."
"astrobiology","n."
"attentive","adj."
"attorney","n."
"attractive","adj."
"attribute","n./v."
"auction","n./v."
"audible","n./adj."
"authentically","adv."
"autobiography","n."
"automate","v."
"automatic","n./adj."
"autonomous","adj."
"avant-garde","n./adj."
"aviator","n."
"avocado","n./adj."
"awe","n./v."
"axial","adj."
"axis","n."
"B.C.E","abbr."
"babushka","n."
"backfire","n./v."
"bare","v./adj."
"barrier","n."
"behold","v."
"belly","n./v."
"besides","adv./prep."
"bespeak","n./v."
"betrayal","n."
"bias","n./v./adj./adv."
"bibliotherapist","n."
"binding","n./adj."
"biochemical","adj."
"biological","adj."
"biometric","adj."
"birch","n./v."
"blanket","n./v./adj."
"bleak","adj."
"blessing","n."
"bloom","n./v."
"blossom","n./v."
"blur","n./v."
"blurred","adj."
"boost","n./v."
"bosom","n./v."
"botany","n."
"bounce","n./v."
"boundary","n."
"breakthrough","n."
"breathtaking","adj."
"breed","n./v."
"broaden","v."
"broccoli","n."
"Brown","n./v./adj."
"brutal","adj."
"Buddhist","n./adj."
"Bulgaria","n."
"bulldozer","n."
"bump","n./v."
"bun","n."
"burgeon","n./v."
"burglar","n."
"Byker","n."
"byproduct","n."
"cabin","n./v."
"cabinet","n./adj."
"cafeteria","n."
"calculate","v."
"calculus","n."
"calix","n."
"canned","adj."
"canteen","n."
"capability","n."
"capacity","n."
"capitalism","n."
"capitalistic","adj."
"caravan","n./v."
"cardiac","n./adj."
"casual","n./adj."
"catalogue","n./v."
"catapult","n./v."
